Unnamed: 0,codeJS_started,codeJS_stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,welcome_started,welcome_stopped,key_resp_keys,key_resp_rt,key_resp_duration,practice_trials,Conditions_lst,instructions_started,instructions_stopped,key_resp_2_keys,key_resp_2_rt,key_resp_2_duration,instructions1_started,instructions1_stopped,key_resp_6_keys,key_resp_6_rt,key_resp_6_duration,square_demo_started,square_demo_stopped,key_resp_13_keys,key_resp_13_rt,key_resp_13_duration,square_demo2_started,square_demo2_stopped,key_resp_14_keys,key_resp_14_rt,key_resp_14_duration,instructions2_started,instructions2_stopped,key_resp_3_keys,key_resp_3_rt,key_resp_3_duration,line_demo_started,line_demo_stopped,slider_4_response,slider_4_rt,judgement_demo_started,judgement_demo_stopped,slider_2_response,slider_2_rt,instructions2line_started,instructions2line_stopped,key_resp_7_keys,key_resp_7_rt,key_resp_7_duration,instructions3_started,instructions3_stopped,key_resp_4_keys,key_resp_4_rt,key_resp_4_duration,instructions4_started,instructions4_stopped,key_resp_9_keys,key_resp_9_rt,key_resp_9_duration,instructions5_started,instructions5_stopped,key_resp_10_keys,key_resp_10_rt,key_resp_10_duration,ready_prac_started,ready_prac_stopped,fix_started,fix_stopped,prac_trials_started,prac_trials_stopped,color,dur,dur1,dur2,condition,cond_pair,catch_trial,key_resp_8_keys,prac_judgement_started,prac_judgement_stopped,slider_3_response,slider_3_rt,trials_2_thisRepN,trials_2_thisTrialN,trials_2_thisN,trials_2_thisIndex,trials_2_ran,key_resp_8_rt,key_resp_8_duration,instructions6_started,instructions6_stopped,key_resp_12_keys,key_resp_12_rt,key_resp_12_duration,ready_started,ready_stopped,trial_started,trial_stopped,key_resp_5_keys,judgement_started,judgement_stopped,slider_response,slider_rt,trials_thisRepN,trials_thisTrialN,trials_thisN,trials_thisIndex,trials_ran,key_resp_5_rt,key_resp_5_duration,post_task_started,post_task_stopped,key_resp_11_keys,key_resp_11_rt,key_resp_11_duration,the_end_started,the_end_stopped,key_resp_16_keys,key_resp_16_rt,key_resp_16_duration,rho,p_value,zscr,resp_diff
76,,,AVPKE76DJLWK6,1,2023-11-28_10h22.25.757,color_task,2023.2.2,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.391,450.889,,,g-b,2.5,1.25,1.25,boundary,"[""g-b"",2.5]",No,,,,,,,,,,,,,,,,,,,,450.889,453.384,,453.384,456.244,1.759259542,2.591,52.0,0.0,52.0,0.0,1.0,,,,,,,,,,,,,0.9235245712718914,2.4797417803671047e-28,1.6124725001097435,0.4474606015757576
77,,,AVPKE76DJLWK6,1,2023-11-28_10h22.25.757,color_task,2023.2.2,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.245,456.74,,,b,2.5,2.5,0.0,continious,"[""b"",2.5]",No,,,,,,,,,,,,,,,,,,,,456.74,459.247,,459.247,461.584,2.120370653,2.089,53.0,0.0,53.0,0.0,1.0,,,,,,,,,,,,,0.9235245712718914,2.4797417803671047e-28,1.6124725001097435,0.4474606015757576
78,,,AVPKE76DJLWK6,1,2023-11-28_10h22.25.757,color_task,2023.2.2,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461.585,462.084,,,y-g,4.5,2.25,2.25,boundary,"[""y-g"",4.5]",No,,,,,,,,,,,,,,,,,,,,462.084,466.591,,466.591,469.035,3.754629771,2.212,54.0,0.0,54.0,0.0,1.0,,,,,,,,,,,,,0.9235245712718914,2.4797417803671047e-28,1.6124725001097435,0.4474606015757576
79,,,AVPKE76DJLWK6,1,2023-11-28_10h22.25.757,color_task,2023.2.2,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469.036,469.528,,,y,4.5,4.5,0.0,continious,"[""y"",4.5]",No,,,,,,,,,,,,,,,,,,,,469.528,474.042,,474.042,477.151,4.277777778,2.877,55.0,0.0,55.0,0.0,1.0,,,,,,,,,,,,,0.9235245712718914,2.4797417803671047e-28,1.6124725001097435,0.4474606015757576
80,,,AVPKE76DJLWK6,1,2023-11-28_10h22.25.757,color_task,2023.2.2,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477.152,477.66,,,g,2.5,2.5,0.0,continious,"[""g"",2.5]",No,,,,,,,,,,,,,,,,,,,,477.66,480.15,,480.15,483.335,1.944444444,2.929,56.0,0.0,56.0,0.0,1.0,,,,,,,,,,,,,0.9235245712718914,2.4797417803671047e-28,1.6124725001097435,0.4474606015757576
81,,,AVPKE76DJLWK6,1,2023-11-28_10h22.25.757,color_task,2023.2.2,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483.336,483.832,,,b-g,2.0,1.0,1.0,boundary,"[""b-g"",2]",No,,,,,,,,,,,,,,,,,,,,483.832,485.841,,485.841,489.04,1.125,2.951,57.0,0.0,57.0,0.0,1.0,,,,,,,,,,,,,0.9235245712718914,2.4797417803671047e-28,1.6124725001097435,0.4474606015757576
82,,,AVPKE76DJLWK6,1,2023-11-28_10h22.25.757,color_task,2023.2.2,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489.041,489.529,,,g,3.5,3.5,0.0,continious,"[""g"",3.5]",No,,,,,,,,,,,,,,,,,,,,489.529,493.017,,493.017,495.772,2.365740882,2.499,58.0,0.0,58.0,0.0,1.0,,,,,,,,,,,,,0.9235245712718914,2.4797417803671047e-28,1.6124725001097435,0.4474606015757576
83,,,AVPKE76DJLWK6,1,2023-11-28_10h22.25.757,color_task,2023.2.2,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495.773,496.276,,,b-g,2.5,1.25,1.25,boundary,"[""b-g"",2.5]",No,,,,,,,,,,,,,,,,,,,,496.276,498.741,,498.741,501.343,2.180555556,2.341,59.0,0.0,59.0,0.0,1.0,,,,,,,,,,,,,0.9235245712718914,2.4797417803671047e-28,1.6124725001097435,0.4474606015757576
84,,,AVPKE76DJLWK6,1,2023-11-28_10h22.25.757,color_task,2023.2.2,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501.343,501.843,,,g-b,1.5,0.75,0.75,boundary,"[""g-b"",1.5]",No,,,,,,,,,,,,,,,,,,,,501.843,503.334,,503.334,506.664,0.990740882,3.092,60.0,0.0,60.0,0.0,1.0,,,,,,,,,,,,,0.9235245712718914,2.4797417803671047e-28,1.6124725001097435,0.4474606015757576
85,,,AVPKE76DJLWK6,1,2023-11-28_10h22.25.757,color_task,2023.2.2,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506.665,507.161,,,y-g,3.0,1.5,1.5,boundary,"[""y-g"",3]",No,,,,,,,,,,,,,,,,,,,,507.161,510.159,,510.159,512.835,2.597222222,2.416,61.0,0.0,61.0,0.0,1.0,,,,,,,,,,,,,0.9235245712718914,2.4797417803671047e-28,1.6124725001097435,0.4474606015757576
86,,,AVPKE76DJLWK6,1,2023-11-28_10h22.25.757,color_task,2023.2.2,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.835,513.317,,,g-b,0.5,0.25,0.25,boundary,"[""g-b"",0.5]",No,,,,,,,,,,,,,,,,,,,,513.317,513.8240000000002,,513.8240000000002,516.637,0.481481552,2.565,62.0,0.0,62.0,0.0,1.0,,,,,,,,,,,,,0.9235245712718914,2.4797417803671047e-28,1.6124725001097435,0.4474606015757576
87,,,AVPKE76DJLWK6,1,2023-11-28_10h22.25.757,color_task,2023.2.2,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516.637,517.13,,,yc,1.5,1.5,0.0,catch,"[""yc"",1.5]",Yes,,,,,,,,,,,,,,,,,,,,517.13,518.631,space,518.631,522.275,0.7870371079999999,3.417,63.0,0.0,63.0,0.0,1.0,0.536,,,,,,,,,,,,0.9235245712718914,2.4797417803671047e-28,1.6124725001097435,0.4474606015757576
88,,,AVPKE76DJLWK6,1,2023-11-28_10h22.25.757,color_task,2023.2.2,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522.276,522.774,,,g,1.5,1.5,0.0,continious,"[""g"",1.5]",No,,,,,,,,,,,,,,,,,,,,522.774,524.276,,524.276,528.002,0.8981482190000001,3.49,64.0,0.0,64.0,0.0,1.0,,,,,,,,,,,,,0.9235245712718914,2.4797417803671047e-28,1.6124725001097435,0.4474606015757576
